Skole,Studie program,Læringsutbytte type,Læringsutbytte,Column,læringsutbytte type_file1,læringsutbytte type_file2,læringsutbytte_file1,læringsutbytte_file2
KRISTIANIA,Bachelor i informasjonsteknologi - Frontend og mobilutvikling,Kunnskaper,har kjennskap til likheter og forskjeller i utvikling av mobile løsninger i forskjellige enheter og nettapplikasjoner tilpasset mobile enheter,læringsutbytte type,,,,
KRISTIANIA,Bachelor i informasjonsteknologi - Frontend og mobilutvikling,Kunnskaper,har kjennskap til likheter og forskjeller i utvikling av mobile løsninger i forskjellige enheter og nettapplikasjoner tilpasset mobile enheter,læringsutbytte,,,,
KRISTIANIA,Bachelor i informasjonsteknologi - Frontend og mobilutvikling,Kunnskaper,har kunnskap om hvordan strukturere applikasjoner i en gitt arkitektur og etter retningslinjer for god utvikling,læringsutbytte type,,,,
KRISTIANIA,Bachelor i informasjonsteknologi - Frontend og mobilutvikling,Kunnskaper,har kunnskap om hvordan strukturere applikasjoner i en gitt arkitektur og etter retningslinjer for god utvikling,læringsutbytte,,,,
KRISTIANIA,Bachelor i informasjonsteknologi - Frontend og mobilutvikling,Kunnskaper,har kunnskap om retningslinjer for hvordan et grensesnittet bør designes for å være brukervennlig og følge standarder for universell utforming,læringsutbytte type,,,,
KRISTIANIA,Bachelor i informasjonsteknologi - Frontend og mobilutvikling,Kunnskaper,har kunnskap om retningslinjer for hvordan et grensesnittet bør designes for å være brukervennlig og følge standarder for universell utforming,læringsutbytte,,,,
KRISTIANIA,Bachelor i informasjonsteknologi - Frontend og mobilutvikling,Kunnskaper,kan beskrive datamaskinens virkemåte og sikkerhetsaspekter i sammenheng med dens bruk,læringsutbytte type,,,,
KRISTIANIA,Bachelor i informasjonsteknologi - Frontend og mobilutvikling,Kunnskaper,kan beskrive datamaskinens virkemåte og sikkerhetsaspekter i sammenheng med dens bruk,læringsutbytte,,,,
